Cohort,Male_Profile,Female_Profile,Profile_1624,Profile_2534,Profile_3544,Profile_4554,Profile_5564,Profile_65,ABC1_Profile,C2DE_Profile
sedan owners,50,50,10,20,20,20,15,15,60,40
station wagon owners,50,50,5,10,15,20,25,25,60,40
suv owners,60,40,5,15,20,25,20,15,65,35
new baby preppers- feeding,40,60,5,40,35,15,5,0,60,40
child fashion,50,50,5,20,35,20,15,5,60,40
safety-first drivers,40,60,10,15,20,20,20,15,60,40
hair style prioritisers,40,60,20,30,20,15,10,5,60,40
shaving,85,15,20,30,20,15,10,5,60,40
image conscious- spas & beauty,30,70,10,20,20,20,15,15,60,40
tanning fans,40,60,20,30,20,15,10,5,60,40
tattoo fans,50,50,20,30,20,15,10,5,60,40
job hunters- career change,50,50,10,30,25,20,10,5,60,40
dieters- keto,40,60,10,20,30,20,15,5,60,40
dieters- kombucha,40,60,10,20,20,20,20,10,60,40
dieters- paleo,50,50,10,20,25,20,15,10,60,40
needing business advice- business education,60,40,10,30,25,20,10,5,60,40
education comes first - early childhood education,30,70,10,20,25,20,15,10,60,40
school educators & administrators,30,70,5,20,20,25,20,10,60,40
future engineers and coders,70,30,40,30,15,10,5,0,60,40
education comes first- test preparation & tutoring,45,55,20,25,20,15,10,10,60,40
fostering families,40,60,5,15,30,25,15,10,60,40
divorcees,48,52,1,10,20,25,25,19,60,40
safety minded- internet safety,60,40,10,20,20,20,20,10,60,40
progressive parents,40,60,5,20,35,25,10,5,60,40
epic readers,45,55,10,20,20,20,15,15,60,40
fable readers,40,60,10,20,20,20,15,15,60,40
fairy tale readers,40,60,20,25,20,15,10,10,60,40
fantasy books readers,45,55,20,30,20,15,10,5,60,40
gothic readers,40,60,20,30,20,15,10,5,60,40
mystery readers,40,60,10,15,20,20,20,15,60,40
mythology readers,50,50,20,25,20,15,10,10,60,40
satire readers,60,40,20,30,20,15,10,5,60,40
short story readers,40,60,10,20,20,15,20,15,60,40
