Cohort,Attribute
3d graphic designers,im - graphic designers
3d graphic designers,im - graphic design books
3d graphic designers,im - measuring & layout tools
3d graphic designers,im - commercial graphic design books
3d graphic designers,im - 3d printing & scanning
3d graphic designers,im - graphics cards
3d tech fans,im - premium tech products
3d tech fans,im - 3d printing & scanning
3d tech fans,im - pre-built scaled models
a.p.c. fans,ls - premium shoppers of fashion (uk)
a.p.c. fans,im - men's fashion
a.p.c. fans,im - women's fashion
accountancy,im - business and finance books
accountancy,im - business & finance textbooks
accountancy,im - business economics books
accountancy,im - professional finance books
accountancy,"ls - b2b - amazon business - finance, insurance and real estate business"
action figure collectors,im - kids' play figures
action figure collectors,ls - comic book fans
action figure collectors,im - kids' play action figures
action figure collectors,im - collectible figures & memorabilia
action figure collectors,im - toys
action figure collectors,im - collectible figures & accessories
action figure collectors,im - kids' toy figure playsets
action figure collectors,im - action figures
action figure collectors,im - kids' play dinosaur & prehistoric creature figures
action figure collectors,im - superhero toys
action film fans,ls - interested in imdb action movies & tv shows
action film fans,ls - action and adventure fans
action film fans,ls - interested in imdb war movies & tv shows
action film fans,ls - favorite streaming genre - action
action film fans,ls - interested in prime video action movies & tv shows
action film fans,ls - interested in imdb marvel movies & tv shows
action film fans,ls - action film fans
action film fans,ls - interested in imdb female superheros / superheroine movies & tv shows
action gamers,im - triple a video games
action gamers,im - arcade & platform games
action gamers,ls - interested in app  - games: action
action gamers,im - action games
action gamers,im - zombie games
active historians,im - local & urban cultural history books
active traders,im - professional finance books
adidas fans,im - men's fashion trainers
adidas fans,im - women's fashion trainers
adidas fans,ls - skateboarding fans
adventure gamers,ls - interested in app  - games: adventure
adventure gamers,im - adventure games
adventure gamers,im - adventure video games
adventure gamers,im - action and shooter games
adventure travellers,im - travel & tourism books
adventure travellers,im - travel books
adventure travellers,im - travel atlases & maps books
adventure travellers,im - travel photography books
adventure travellers,im - travel documentary films
adventure travellers,ls - travel documentary film fans
adventurous eaters,im - food and drink books
adventurous eaters,im - food reference & gastronomy books
adventurous eaters,im - food & drink encyclopaedias & dictionaries books
adventurous eaters,im - gourmet food & drink books
advertising experts,im - communication studies books
advertising experts,im - media & communication industries books
advertising experts,ls - b2b - amazon business - high spenders
african cuisine fans,im - mediterranean food & drink books
aircraft modelers,im - remote & app-controlled drones
aircraft modelers,im - model building kits
aircraft modelers,im - pc flight controls
aircraft modelers,im - remote & app-controlled aircraft
airline employees,im - transportation industry books
alexander mcqueen fans,ls - premium shoppers of fashion (uk)
alexander wang fans,ls - premium shoppers of fashion (uk)
alternative investors,im - professional finance books
alternative music listeners,ls - alternative and indie music fans
alternative music listeners,im - music from the 90's
alternative music listeners,im - alternative and indie
alternative music listeners,ls - rock music enthusiasts
ambitious individuals,im - business management books
ambitious individuals,im - business careers books
american cuisine fans,im - breakfast food
american cuisine fans,im - food & drink
american football fans,ls - football fans
animal and nature lovers,im - science and nature books
animal and nature lovers,im - children's fiction books on animals
animal and nature lovers,im - children's books on nature
animal and nature lovers,ls - science and nature book fans
animal and nature lovers,im - wildlife gardening books
animal and nature lovers,im - birdwatching books
animal care & veterinary professionals,im - animal & pet care books
animal care & veterinary professionals,im - animal husbandry books
animated film fans,"ls -frequent streamers of science fiction, fantasy, action & anime"
animated film fans,ls - amazon video animated film fans
animated film fans,ls - animation streaming film fans
animated film fans,ls - interested in imdb animation movies & tv shows
animated film fans,ls - favorite streaming genre - animation adult interest
animated film fans,ls - interested in prime video kids movies & tv shows
animated film fans,ls - interested in g rated movies & tv shows (mpaa maturity rating)
animated film fans,"im - tv, movie & video game adaptations for children books"
animated film fans,im - children's film and tv
animated film fans,im - movie & tv streaming for kids
animated film fans,ls - animated film fans
animated film fans,im - animated films
animation fans,"ls -frequent streamers of science fiction, fantasy, action & anime"
animation fans,ls - interested in imdb animation movies & tv shows
animation fans,ls - comic book and graphic novel fans
animation fans,ls - comic book fans
animation fans,im - comics & graphic novels books
animation fans,im - comics & graphic novels by genre books
animation fans,ls - interested in imdb marvel movies & tv shows
animation fans,im - super-hero graphic novels books
animation fans,ls - interested in imdb female superheros / superheroine movies & tv shows
animation fans,im - comics with media tie-ins for children
animation fans- learning more,ls - interested in imdb animation movies & tv shows
animation show fans,"ls -frequent streamers of science fiction, fantasy, action & anime"
animation show fans,ls - interested in imdb animation movies & tv shows
animation show fans,im - adult animated comedy shows
animation show fans,ls - favorite streaming genre - animation adult interest
animation show fans,im - movie & tv streaming for kids
animation show fans,im - children's tv shows
anime fans,"ls -frequent streamers of science fiction, fantasy, action & anime"
anime fans,im - chibi character figures
anime fans,ls - anime fans
anime fans,ls - favorite streaming genre - anime
anime fans,ls - interested in prime video anime movies & tv shows
